€650,000 	 The Old School House, Straffan, Kildare
€259,000 	 152 Oughterany Village, Kilcock, Co Kildare
€595,000 	 Castlebrown, Clane, Co. Kildare, W91 Y0Y2
€350,000 	 The Drive, Longstone, Blessington Road, Naas, Co. Kildare
€550,000 	 Chestnut Lodge, Whitechurch, Straffan, Co. Kildare, W23 DK06
€249,000  -€6,000 on 28th Sep 19 	 3 The Green, Cnoc na Gréine, Kilcullen, Co. Kildare, R56 T951
€298,000 	 Edergole Cottage, 1547 Stephenstown South, Two Mile House, Naas, Co. Kildare
€640,000 	 6 The Sycamores, Sallins Road, Naas, Co Kildare, W91 Y584
€185,000  -€10,000 on 9th Sep 19 	 17 Coney Park, Coneyboro, Athy, Kildare
€399,950 	 2 Sunnyhill, Castlemartin Lodge, , Kilcullen, Kildare
€180,000 	 85 The Sycamores, Edenderry, Offaly
Reserve Not To Exceed €340,000 	 4 Rockfield Grove, Maynooth, Co. Kildare
€315,000 	 32 Woodside, Leixlip, Co Kildare, W23 TK75
€185,000 	 84 The Village, Athy, Kildare
€350,000 	 The Foxglove, Bellingsfield, Naas, Kildare
€350,000 	 1 The Court, Liffey Hall, Newbridge, Kildare
€290,000 	 16 Wellesley Manor, Newbridge, Co. Kildare
€259,000 	 20 Oldtown Gardens, Sallins Road, Naas, Co Kildare, W91 H26R
€480,000 	 Abbottfield, Clane, Co. Kildare -  4 bed detached.
€300,000 	 The Robin, Bellingsfield, Naas, Kildare
€698,000 	 Meadow View, Rahandoon, Sallins, Co Kildare, W91 Y9F9
